Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
93,704,0.036,1.5,0.5,0.04,2,0.0064,0.1,0.01,0.3
92.5,689,0.03,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
92,668,0.042,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
91.5,651,0.034,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
91,636,0.03,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
90.5,617,0.038,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
90,601,0.032,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
89.5,577,0.048,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
89,559,0.036,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
88.5,545,0.028,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
88,533,0.024,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
87.5,520,0.026,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
87,508,0.024,6,0.15,0.015,2,0.0064,0.1,0.01,0.35
86.5,496,0.024,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
86,489,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
85.5,478,0.022,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
85,470,0.016,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
84.5,463,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
84,456,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
83.5,451,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
83,445,0.012,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
82.5,439,0.012,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
82,434,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
81.5,429,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
81,424,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
80.5,418,0.012,10,0.15,1,2,0.0064,0.1,0.01,0.2
80,414,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
79.5,409,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
79,405,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
78.5,402,0.006,10,0.15,1,2,0.0064,0.1,0.01,0.2
78,399,0.006,10,0.15,1,2,0.0064,0.1,0.01,0.2
77.5,391,0.016,10,0.15,1,2,0.0064,0.1,0.01,0.2
77,387,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
76.5,385,0.004,10,0.15,1,2,0.0064,0.1,0.01,0.2
76,382,0.006,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
75.5,380,0.004,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
75,376,0.008,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
74.5,373,0.006,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
74,369,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
73.5,366,0.006,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
73,362,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
72.5,358,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
72,356,0.004,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
71.5,354,0.004,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
71,351,0.006,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
70.5,349,0.004,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
70,346,0.006,4,0.15,0.05,2,0.0064,0.1,0.01,0.35
69.5,345,0.002,4,0.15,0.05,2,0.0064,0.1,0.01,0.35
69,343,0.004,4,0.15,0.05,2,0.0064,0.1,0.01,0.35
68.5,340,0.006,7,0.5,0.035,2,0.0064,0.1,0.01,0.35
68,336,0.008,7,0.5,0.035,2,0.0064,0.1,0.01,0.35
67.5,334,0.004,7,0.5,0.035,2,0.0064,0.1,0.01,0.35
67,331,0.006,7,0.5,0.035,2,0.0064,0.1,0.01,0.35
66.5,328,0.006,5,0.15,0.5,2,0.0064,0.1,0.01,0.35
66,325,0.006,5,0.15,0.5,2,0.0064,0.1,0.01,0.35
65.5,322,0.006,5,0.15,0.5,2,0.0064,0.1,0.01,0.35
65,319,0.006,5,0.15,0.5,2,0.0064,0.1,0.01,0.35
64.5,315,0.008,5,0.15,0.5,2,0.0064,0.1,0.01,0.35
64,313,0.004,6,0.15,0.015,2,0.0064,0.1,0.01,0.1
63.5,310,0.006,6,0.15,0.015,2,0.0064,0.1,0.01,0.1
63,308,0.004,7,0.15,0.03,2,0.0064,0.1,0.01,0.35
62.5,306,0.004,7,0.15,0.03,2,0.0064,0.1,0.01,0.35
62,303,0.006,7,0.15,0.03,2,0.0064,0.1,0.01,0.35
61.5,301,0.004,7,0.15,0.03,2,0.0064,0.1,0.01,0.35
61,299,0.004,7,0.15,0.03,2,0.0064,0.1,0.01,0.35
60.5,297,0.004,7,0.15,0.03,2,0.0064,0.1,0.01,0.35
60,295,0.004,7,0.15,0.03,2,0.0064,0.1,0.01,0.35
59.5,293,0.004,12,0.15,1,2,0.0064,0.1,0.01,0.3
59,292,0.002,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
58.5,290,0.004,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
58,288,0.004,11,0.15,1,2,0.0064,0.1,0.01,0.35
57.5,285,0.006,11,0.15,1,2,0.0064,0.1,0.01,0.35
57,284,0.002,10,0.5,1,2,0.0064,0.1,0.01,0.35
56.5,282,0.004,10,0.5,1,2,0.0064,0.1,0.01,0.35
56,280,0.004,10,0.5,1,2,0.0064,0.1,0.01,0.35
55.5,279,0.002,10,0.5,1,2,0.0064,0.1,0.01,0.35
55,277.5,0.003,10,0.5,1,2,0.0064,0.1,0.01,0.35
54.5,276,0.003,10,0.5,1,2,0.0064,0.1,0.01,0.35
54,274,0.003,10,0.5,1,2,0.0064,0.1,0.01,0.35
53.5,272,0.004,10,0.5,1,2,0.0064,0.1,0.01,0.35
53,270.5,0.003,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
52.5,269,0.003,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
52,268,0.003,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
51.5,266,0.004,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
51,265,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
50.5,264,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
50,263,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
49.5,262,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
49,261,0.002,8,0.15,1,2,0.0064,0.1,0.01,0.35
48.5,259.5,0.003,8,0.15,1,2,0.0064,0.1,0.01,0.35
48,258,0.003,8,0.15,1,2,0.0064,0.1,0.01,0.35
47.5,257.5,0.001,8,0.15,1,2,0.0064,0.1,0.01,0.35
47,257,0.001,8,0.15,1,2,0.0064,0.1,0.01,0.35
46.5,256,0.001,8,0.15,1,2,0.0064,0.1,0.01,0.35
46,252,0.008,8,0.15,1,2,0.0064,0.1,0.01,0.35
45.5,251,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
45,250,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
44.5,249,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
44,248,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
43.5,247,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
43,246,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
42.5,245.5,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
42,245,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
41.5,244.5,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
41,244,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
40.5,243.5,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
40,243,0.001,8,0.15,0.045,2,0.0064,0.1,0.01,0.5
39.5,242,0.001,8,0.15,0.045,2,0.0064,0.1,0.01,0.5
39,241,0.002,5,2.075,0.05,2,0.0064,0.1,0.01,0.45
38.5,240,0.002,5,2.075,0.05,2,0.0064,0.1,0.01,0.45
38,239.6666667,0.0007,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
37.5,239.3333333,0.0007,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37,239,0.0007,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
36.5,238.6666667,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
36,238.3333333,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
35.5,238,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
35,237,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
34.5,236,0.002,6,0.75,1,2,0.0064,0.1,0.01,0.5
34,232,0.008,6,0.75,1,2,0.0064,0.1,0.01,0.5
33.5,231.25,0.0015,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33,230.5,0.0015,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32.5,229.75,0.0015,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32,229,0.0015,12,0.15,1,2,0.0064,0.1,0.01,0.5
31.5,228.5,0.001,12,0.15,1,2,0.0064,0.1,0.01,0.5
31,228,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.5,227.5,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30,227,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.5,226.5,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29,226,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
28.5,224.3333333,0.0033,14,0.15,1,2,0.0064,0.1,0.01,0.4
28,222.6666667,0.0033,14,0.15,1,2,0.0064,0.1,0.01,0.4
27.5,221,0.0033,14,0.15,1,2,0.0064,0.1,0.01,0.4
27,220,0.0033,25,0.5,1,2,0.0064,0.1,0.01,0.5
26.5,219.2,0.0016,14,0.15,0.1,2,0.0064,0.1,0.01,0.45
26,218.4,0.0016,14,0.15,0.1,2,0.0064,0.1,0.01,0.45
25.5,217.6,0.0016,14,0.15,0.1,2,0.0064,0.1,0.01,0.45
25,216.8,0.0016,18,0.15,1,2,0.0064,0.1,0.01,0.5
24.5,216,0.0016,18,0.15,1,2,0.0064,0.1,0.01,0.5
24,215,0.0016,18,0.15,1,2,0.0064,0.1,0.01,0.5
23.5,214.6666667,0.0007,18,0.15,1,2,0.0064,0.1,0.01,0.5
23,214.3333333,0.0007,11,0.15,0.035,2,0.0064,0.1,0.01,0.5
22.5,214,0.0007,11,0.15,0.035,2,0.0064,0.1,0.01,0.5
22,213,0.002,11,0.15,0.035,2,0.0064,0.1,0.01,0.5
21.5,212,0.002,6,0.15,0.03,2,0.0064,0.1,0.01,0.5
21,211,0.002,6,0.15,0.03,2,0.0064,0.1,0.01,0.5
20.5,210,0.002,6,0.15,0.03,2,0.0064,0.1,0.01,0.5
20,209.3333333,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
19.5,208.6666667,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
19,208,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
18.5,207.3333333,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
18,206.6666667,0.0013,15,0.15,0.04,2,0.0064,0.1,0.01,0.45
17.5,206,0.0013,15,0.15,0.04,2,0.0064,0.1,0.01,0.45
17,205,0.0013,15,0.5,1,2,0.0064,0.1,0.01,0.5
16.5,204.5,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
16,204,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
15.5,203.5,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
15,203,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
14.5,202,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
14,201,0.002,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
13.5,200.5,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
13,200,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
12.5,199,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
12,198,0.002,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
11.5,197.75,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
11,197.5,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
10.5,197.25,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
10,197,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
9.5,196,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
9,195.5,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
8.5,195,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
8,194,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
7.5,193,0.002,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
